"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 CN2)","2024-Feb-05 10:06 ± < 00:01","0.03087","0.03076","17.50","17.50","25.9","17 m -   39 m","0"
"(2024 BE5)","2024-Feb-05 11:17 ± < 00:01","0.04449","0.04432","9.60","9.60","25.5","21 m -   47 m","0"
"(2024 CR2)","2024-Feb-05 12:47 ± < 00:01","0.03162","0.03147","11.21","11.21","23.9","43 m -   96 m","0"
"(2024 DM)","2024-Feb-05 12:54 ±    01:03","0.04293","0.04192","13.37","13.36","25.0","27 m -   60 m","0"
"(2024 CH)","2024-Feb-05 14:52 ± < 00:01","0.00590","0.00589","20.80","20.78","25.9","17 m -   39 m","0"
"(2024 BS3)","2024-Feb-05 15:07 ± < 00:01","0.14563","0.14505","17.85","17.85","24.4","36 m -   80 m","0"
"(2015 KQ57)","2024-Feb-05 16:45 ± < 00:01","0.07160","0.07160","13.77","13.77","22.2","98 m -  220 m","0"
"(2023 CE3)","2024-Feb-05 17:00 ±    09:33","0.08535","0.08206","15.26","15.26","25.2","24 m -   54 m","0"
"(2024 DT)","2024-Feb-05 21:49 ±    01:09","0.03827","0.03751","16.72","16.72","24.4","36 m -   80 m","0"
"(2024 AJ2)","2024-Feb-05 22:01 ± < 00:01","0.19094","0.19082","23.23","23.23","21.1","160 m -  350 m","0"
"(2007 DE8)","2024-Feb-06 03:16 ±    00:01","0.15865","0.15862","8.85","8.85","23.6","51 m -  110 m","0"
"(2024 BU4)","2024-Feb-06 05:54 ± < 00:01","0.05243","0.05235","10.15","10.15","23.6","52 m -  120 m","0"
"(2024 BV5)","2024-Feb-06 10:59 ±    00:05","0.09256","0.09105","8.34","8.33","24.2","38 m -   86 m","0"
"(2024 BT3)","2024-Feb-06 13:12 ±    00:02","0.03618","0.03577","5.03","5.02","26.9","11 m -   24 m","0"
"(2024 BO)","2024-Feb-06 23:18 ± < 00:01","0.05080","0.05078","6.07","6.06","25.3","23 m -   52 m","0"
"(2023 SP1)","2024-Feb-07 00:06 ± < 00:01","0.03665","0.03665","11.80","11.79","20.8","190 m -  420 m","1"
"(2024 CQ4)","2024-Feb-07 01:03 ± < 00:01","0.05419","0.05383","7.50","7.49","25.3","24 m -   53 m","0"
"(2024 DS)","2024-Feb-07 02:44 ±    01:23","0.01762","0.01727","11.95","11.93","25.9","17 m -   39 m","0"
"(2024 DP)","2024-Feb-07 02:49 ±    00:03","0.01127","0.01121","6.69","6.65","25.4","22 m -   48 m","0"
"(2023 KX3)","2024-Feb-07 04:02 ±    00:18","0.12479","0.12476","3.46","3.45","25.8","19 m -   42 m","0"
"(2024 CQ2)","2024-Feb-07 05:10 ±    00:01","0.00637","0.00635","10.96","10.93","27.5","8.5 m -   19 m","0"
"(2024 BW4)","2024-Feb-07 05:27 ± < 00:01","0.02972","0.02946","22.10","22.10","24.1","40 m -   89 m","0"
"(2024 CF2)","2024-Feb-07 06:02 ± < 00:01","0.00901","0.00897","29.42","29.41","26.5","13 m -   29 m","0"
"(1999 RA32)","2024-Feb-07 08:02 ±    00:01","0.14941","0.14940","7.71","7.71","21.3","150 m -  330 m","0"
"(2024 BD1)","2024-Feb-07 08:29 ± < 00:01","0.15612","0.15602","10.67","10.67","22.3","94 m -  210 m","0"
"(2024 CQ6)","2024-Feb-07 10:35 ±    00:01","0.19972","0.19965","7.66","7.65","23.8","46 m -  100 m","0"
"(2024 AK1)","2024-Feb-07 15:41 ± < 00:01","0.15645","0.15643","13.72","13.72","21.9","110 m -  250 m","0"
"(2022 CX1)","2024-Feb-07 16:20 ±    09:14","0.10026","0.08845","14.68","14.68","27.1","10 m -   23 m","0"
